County,1980_pop,1990_pop,2000_pop,2010_pop,2020_pop,Median_Household_Income,Unemployment Rate,Urban Percent,Rural Percent
Page,"19,063","16,870","16,976","15,932","15,211","72,199",6.6,66.20%,33.80%
Palo Alto,"12,721","10,669","10,147","9,421","8,996","86,020",3.6,0.00%,100.00%
Plymouth,"24,743","23,388","24,849","24,986","25,698","94,094",2.1,39.50%,60.50%
Pocahontas,"11,369","9,525","8,662","7,310","7,078","82,009",6.3,0.00%,100.00%
Polk,"303,170","327,140","374,601","430,640","492,401","99,161",4.5,95.50%,4.50%
Pottawattamie,"86,561","82,628","87,704","93,158","93,667","84,320",3.6,73.10%,26.90%
Poweshiek,"19,306","19,033","18,815","18,914","18,662","90,108",4.6,50.80%,49.20%
Ringgold,"6,112","5,420","5,469","5,131","4,663","84,615",1.7,0.00%,100.00%
Sac,"14,118","12,324","11,529","10,350","9,814","87,162",3.2,0.00%,100.00%
Scott,"160,022","150,979","158,668","165,224","174,669","94,696",4.0,86.70%,13.30%
Shelby,"15,043","13,230","13,173","12,167","11,746","90,041",2.5,40.10%,59.90%
Sioux,"30,813","29,903","31,589","33,704","35,872","95,737",2.3,43.40%,56.60%
Story,"72,326","74,252","79,981","89,542","98,537","109,432",5.6,74.20%,25.80%
Tama,"19,533","17,419","18,103","17,767","17,135","78,503",4.5,30.70%,69.30%
Taylor,"8,353","7,114","6,958","6,317","5,896","76,854",3.2,0.00%,100.00%
Union,"13,858","12,750","12,309","12,534","12,138","78,482",5.7,61.80%,38.20%
Van Buren,"8,626","7,676","7,809","7,570","7,203","70,893",4.9,0.00%,100.00%
Wapello,"40,241","35,687","36,051","35,625","35,437","67,016",4.4,70.60%,29.40%
Warren,"34,878","36,033","40,671","46,225","52,403","107,434",3.2,52.90%,47.10%
Washington,"20,141","19,612","20,670","21,704","22,565","86,333",2.6,30.30%,69.70%
Wayne,"8,199","7,067","6,730","6,403","6,497","77,570",1.6,0.00%,100.00%
Webster,"45,953","40,342","40,235","38,013","36,999","82,733",3.2,66.80%,33.20%
Winnebago,"13,010","12,122","11,723","10,866","10,679","86,098",2.5,0.00%,100.00%
Winneshiek,"21,876","20,847","21,310","21,056","20,070","88,023",2.1,39.80%,60.20%
Woodbury,"100,884","98,276","103,877","102,172","105,941","86,194",4.5,83.90%,16.10%
Worth,"9,075","7,991","7,909","7,598","7,443","87,750",3.3,0.00%,100.00%
Wright,"16,319","14,269","14,334","13,229","12,943","72,665",2.2,0.00%,100.00%
